품목명,제조사명,식품중량,중량(g),갯수(개),price,CU
후레쉬베리 요거트베리,(주)오리온 제2익산공장,336g,336,1,3870,
화이트하임,(주)크라운제과,47g,47,1,2500,
화이트쿠키 빼빼로,롯데웰푸드(주),37g,37,30,1580,
허니버터칩,해태가루비(주)제2공장,60g,60,1,1700,
해태 사브레,해태제과식품(주),252g,252,1,3600,
핫고래밥 매콤양념맛,(주)오리온 제2익산공장,56g,56,1,900,
프레첼허니향머스타드맛,㈜위너스,85g,85,1,940,
프레첼갈릭버터맛,(주)위너스,85g,85,1,1400,
프레첼 먹태 청양마요맛,주식회사 위너스,100g,85,1,1420,
포테토칩 오리지널,(주)농심,390g,390,1,3990,
포카칩 오리지널,(주)오리온,66g,66,1,1700,
포카칩 어니언맛,(주)오리온,66g,66,1,1700,
포스틱,(주)농심,156g,84,1,1700,
파로 저당 단백칩,(주)삼아인터내셔날,100g,45,1,3000,
통크 초코,(주)오리온,45g,45,1,1500,
옹실한 칠곡쿠키,(주)크라운제과,192g,216,1,3600,
쿠크슈몬 화이트,(주)크라운제과,289g,289,1,3980,
쿠크슈몬 커피,(주)크라운제과,289g,289,1,4400,
쿠쉬쿠쉬 크루아상맛,(주)오리온,197g,197,1,5000,
카라멜 메이플콘,(주)크라운제과,74g,74,1,1500,
치즈톡 달콤치즈맛,농업회사법인 오리온농협 주식회사,80g,80,1,1200,
치즈먹은 공룡,(주) 청우식품,100g,60,1,1300,
쵸코하임,(주)크라운제과,47g,284,1,4800,
참크래커,(주)크라운제과,56g,56,1,990,
참 알프스,(주)크라운제과,56g,59,1,860,
찰떡쿠키 오리지널,(주)청우식품,258g,215,1,4680,
쫄병 안성탕면맛,(주)농심,77g,77,1,990,
쫄병 숯불바베큐맛,(주)농심,82g,82,1,850,
쫄병 매콤한맛,(주)농심,82g,82,1,1180,
죠리퐁 마시멜로,(주)크라운제과,39g,35,1,850,
죠리퐁,(주)크라운제과,74g,74,1,1500,
조청유과,(주)농심,96g,96,1,1360,
제로 쿠앤크 샌드,롯데웰푸드(주),96g,96,1,1600,
쟈키쟈키,(주)빙그레,70g,70,1,1050,
자주 꾀돌이,광일제과,100g,90,1,1500,
인디안밥,(주)농심,83g,83,1,1550,
이지프로틴 고단백질 감자칩 소금빵맛,롯데웰푸드(주),50g,50,1,2520,
이지프로틴 고단백질 감자칩 매콤치즈맛,롯데웰푸드(주),50g,50,1,1300,
유자치즈케익,(주)청우식품,190g,190,1,3180,
우유먹은 공룡,(주) 청우식품,100g,60,1,1300,
옥수수 에이플러스콘,(주)광일식품,55g,55,1,562,
오징어톡 구운오징어맛,농업회사법인오리온농협(주),136g,136,1,2280,
오징어집(버터구이맛),(주)농심,78g,78,1,1360,
예감 볶은양파맛,(주)오리온,204g,204,1,2980,
예감,(주)오리온,192g,192,1,3580,
엄마손파이,롯데웰푸드주식회사,254g,254,1,6000,
양파링 오리지널,(주)농심,80g,80,1,1360,
야채타임,(주)빙그레,70g,70,1,1700,
쌀로칩 들기름 김맛,롯데웰푸드주식회사,50g,50,1,1700,
쌀떡볶이,(주)코스모스제과,870g,870,1,7800,
스낵24 두부과자,(주)코스모스제과,100g,42,1,700,
수미칩 오리지널,(주)농심,85g,85,1,2500,
서주 버터와플,서주제과(주),146g,146,1,2300,
서주 허쉬 헤이즐넛 와플,서주푸드주식회사,55g,55,1,1390,
서주 허쉬 솔티카라멜 와플,서주제과(주),55g,55,1,1480,
서주 포켓 웨하스 그릭요거트,서주제과(주),16.60g,16.6,1,500,
감자칩 케첩맛,해태가루비(주) 제 2공장,100g,90,1,3580,
새우깡,(주)농심,90g,90,1,1300,
빼빼로 더블리치 솔티바닐라,롯데웰푸드(주),40g,40,1,2600,
배배,(주)오리온,80g,80,1,1180,
바삭한 갈릭새우칩,미찌푸드(주),140g,155,1,2280,
서주 미니 웨하스 바닐라맛,서주제과(주),80g,70,1,850,
서주 미니 웨하스 딸기맛,서주제과(주),80g,70,1,850,
메론킥,(주)농심,60g,60,1,1700,
먹태깡 청양마요맛,(주)농심,60g,60,1,1300,
매운새우깡,(주)농심,90g,90,1,1500,
맛새우칩,(주)코스모스제과,56g,25,1,340,
말차하임,(주)크라운제과,284g,284,1,6300,
마라뿌린 치킨팝,농업회사법인 오리온농협 주식회사,60g,60,1,1300,
롯데샌드파인애플,롯데웰푸드(주),315g,315,1,4000,
두부스틱,(주)청우식품,220g,220,1,2900,
두부과자 콘소메맛,(주)코스모스제과,100g,100,1,1600,
두부과자 와사비맛,(주)코스모스제과,100g,100,1,1600,
두부과자 야채맛,(주)코스모스제과,100g,100,1,1600,
두부과자,(주)코스모스제과,150g,135,1,1300,
두바이 스타일 쵸코하임,(주)크라운제과,142g,142,1,4100,
꼬북칩 초코츄러스맛,(주)오리온,59g,80,1,1700,
델로스 카푸치노,(주)청우식품,315g,315,1,8000,
