품목명,제조사명,식품코드,품목제조보고번호,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민A(μg RAE),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),비타민 B6 / 피리독신(mg),엽산(μg DFE),비타민 D3(μg),비타민 E(mg α-TE),당알콜(g),알룰로오스(g),에리스리톨(g),불포화지방산(g),트랜스 리놀렌산(18:3t)(mg),마그네슘(mg),망간(mg),아연(mg),류신(mg),1회 섭취참고량,식품중량,원재료명,CU,중량(g),갯수(개),price,_delete_reason
후레쉬베리 요거트베리,(주)오리온 제2익산공장,P101-106000100-2952,1.98E+13,100g,436,3.57,21.43,57.14,28.57,,,,,,143,,,,,,,,78.57,8.21,0,,,,,,,,,,,,,,30g,336g,"밀가루, 전란액, 백설탕, 쇼트닝, 잼, 옥수수기름(옥배유), 물엿, 올리고당, 물엿, 유함유가공품, 식물성크림, 혼합제제, 농후발효유, 유청, 주정, D-소비톨액, 전지분유, 유화제, 유화제, 유화제, 가공유지, 혼합제제, 구연산, 식염, 혼합제제, 향료, 혼합제제, 잔탄검, 향료제제",,336,1,3870,
화이트하임,(주)크라운제과,P101-105000100-0194,2.01E+11,100g,545,7.23,29.79,61.7,38.3,,,,,,138,,,,,,,,10.64,17.02,0,,,,,,,,,,,,,,30g,47g,"헤이즐넛향, 밀크향, 구아검, 정제소금, 덱스트린, 혼합분유, 유화제, 유화제, 유화제, 탄산수소암모늄, 탄산수소나트륨, 옥수수기름(옥배유), 쇼트닝, 대두분, 올리고당, 헤젤넛트페이스트, 유당, 기타가공품, 유청, 기타가공품, 설탕, 가공유지, 밀가루, 식품첨가물",,284,1,4650,
화이트쿠키 빼빼로,롯데웰푸드(주),P101-103000100-2315,1.98E+13,100g,503,8.11,22.43,67.57,37.84,,,,,,378,,,,,,,,11.35,21.35,0.81,,,,,,,,,,,,,,30g,37g,"밀가루, 과자, 글리세린지방산에스테르, 기타과당, 탄산수소나트륨, 탄산수소암모늄, 제삼인산나트륨, 정제소금, 레시틴, 기타가공품, 맥아엑기스, 전분가공품, 가공버터, 가공연유, 쇼트닝, 정제수, 혼합분유, 유당, 설탕, 가공유지, 혼합제제, 향료, 향료, 향료, 파파인, 효모, 땅콩분말, 아몬드분말",,37,30,1309,
허니버터칩,해태가루비(주)제2공장,P101-104000100-1022,2.02E+11,100g,542,5,31.67,58.34,5,,,,,,383,,,,,,,,8.33,11.67,0,,,,,,,,,,,,,,30g,60g,"혼합식용유, 복합조미식품, 감자",,60,1,940,
해태 사브레,해태제과식품(주),P101-103000400-2091,1.98E+13,100g,490,5.3,20,72,28,,,,,,190,,,,,,,,10,10,0.3,,,,,,,,,,,,,,30g,252g,"바닐린, 밀가루, 설탕, 쇼트닝, 전란액, 가공버터, 탄산수소암모늄, 탄산수소나트륨, 기타가공품, 혼합제제, 레시틴, 정제소금, 밀크향, 당류가공품, 바닐라향",,84,1,1060,
핫고래밥 매콤양념맛,(주)오리온 제2익산공장,P101-104000100-0457,1.98E+13,100g,441,7.14,12.5,75,10.71,,,,,,839,,,,,,,,0,6.43,0,,,,,,,,,,,,,,30g,56g,"산도조절제, 식염, 유화제, 소스, 기타가공품, 전분, 복합조미식품, 혼합식용유, 곡류가공품, 복합조미식품, 쇼트닝, 백설탕, 변성전분, 밀가루, 파프리카추출색소",,56,1,900,
프레첼허니향머스타드맛,㈜위너스,P101-106000100-1917,2.01E+12,100g,480,3.53,7.06,24.71,1.18,,,,,,182,,,,,,,,0,3.53,0,,,,,,,,,,,,,,30g,85g,"사양벌꿀, 프레첼, 팜올레인유, 복합조미식품",,85,1,940,
프레첼갈릭버터맛,(주)위너스,P101-106000100-1909,2.01E+11,100g,447,8.24,14.12,72.94,4.24,,,,,,788,,,,,,,,5.88,4.12,0,,,,,,,,,,,,,,30g,85g,"프레첼, 팜올레인유, 복합조미식품, 복합조미식품",,85,1,1400,
프레첼 먹태 청양마요맛,주식회사 위너스,P101-104000100-0452,2.01E+12,100g,503,12.61,25.38,56.1,10.96,,,,,,305,,,,,,,,2.63,8.59,0.07,,,,,,,,,,,,,,30g,100g,"과자, 복합조미식품, 팜올레인유, 땅콩 또는 견과류가공품, 복합조미식품",,85,1,1420,
포테토칩 오리지널,(주)농심,P101-106000100-1887,1.99E+12,100g,583,3.33,40,53.33,0,,,,,,433,,,,,,,,0,12.67,0,,,,,,,,,,,,,,30g,390g,"채종유(유채유 또는 카놀라유), 복합조미식품, 팜유, 감자",,60,1,830,
포카칩 오리지널,(주)오리온,P101-106000100-1875,1.99E+13,100g,557,6.67,36.67,50,1.33,,,,,,383,,,,,,,,0,13.67,0,,,,,,,,,,,,,,30g,66g,"감자, 식물성유지, 조미가공염",,66,20,1150,
포카칩 어니언맛,(주)오리온,P101-106000100-1874,1.99E+13,100g,570,6.67,36.67,53.33,2.33,,,,,,317,,,,,,,,0,13.67,0,,,,,,,,,,,,,,30g,66g,"감자, 양파맛씨즈닝, 식물성유지",,66,1,1060,
포스틱,(주)농심,P101-106000100-1872,1.98E+13,100g,467,3.33,15.67,76.67,4,,,,,,633,,,,,,,,0,5.33,0,,,,,,,,,,,,,,30g,156g,"기타가공품, 채종유(유채유 또는 카놀라유), 팜유, 곡류가공품",,84,1,1050,
파로 저당 단백칩,(주)삼아인터내셔날,P101-104000100-0643,1.99E+13,100g,408,13.64,13.36,66.44,2.59,,,,,,714,,,,,,,,0,5.59,0,,,,,,,,,,,,,,30g,100g,"프로테아제(세균성), 혼합제제, 과.채가공품류, 탄산수소나트륨, 참깨, 치아씨앗, 정제소금, 전분가공품, 난소화성말토덱스트린분말(고시형), 탄산수소암모늄, 밀가루, 기타가공품, 두류가공품, 팜유, 프락토올리고당, 곡류가공품, 밀가루",,45,10,1790,
통크 초코,(주)오리온,P101-103000400-1836,1.98E+13,100g,524,8.89,26.67,62.22,35.56,,,,,,122,,,,,,,,6.67,15.56,0,,,,,,,,,,,,,,30g,45g,"준초콜릿, 밀가루, 기타밀가루, 가공유지, 백설탕, 곡류가공품, 식염, 탄산수소나트륨",,45,40,755,
옹실한 칠곡쿠키,(주)크라운제과,P101-103000100-2624,2.01E+13,100g,507,9,23,66,18,,,,,,390,,,,,,,,20,11,0,,,,,,,,,,,,,,30g,192g,"밀가루, 쇼트닝, 기타밀가루, 향신료조제품, 혼합식용유, 탄산수소암모늄, 탄산수소나트륨, 정제소금, 올리고당, 골든시럽, 곡류가공품, 곡류가공품, 설탕, 기타 농산가공품, 전란액, 땅콩분태, 쌀, 설탕",,216,3,3007,
쿠크슈몬 화이트,(주)크라운제과,P101-103000100-4361,2.01E+13,100g,547,6,31,61,37,,,,,,180,,,,,,,,15,21,0,,,,,,,,,,,,,,30g,289g,"가공유지, 준초콜릿, 과.채가공품, 기타가공품, 혼합제제, 혼합식용유, 레시틴, 기타가공품, 정제소금, 탄산수소나트륨, 가공치즈, 바닐라향, 코코넛향, 바닐린, 가공버터, 혼합분유, 유당, 가공유지, 난백액, 쇼트닝, 밀가루, 설탕",,289,5,3980,
쿠크슈몬 커피,(주)크라운제과,P101-103000100-4360,2.01E+13,100g,547,6,31,61,37,,,,,,180,,,,,,,,10,21,0,,,,,,,,,,,,,,30g,289g,"준초콜릿, 기타가공품, 혼합분유, 가공유지, 가공버터, 유당, 가공유지, 밀가루, 설탕, 쇼트닝, 난백액, 커피향, 코코넛향, 가공치즈, 탄산수소나트륨, 정제소금, 레시틴, 커피, 혼합식용유, 혼합제제, 기타가공품, 과.채가공품",,289,1,6860,
쿠쉬쿠쉬 크루아상맛,(주)오리온,P101-103000400-1630,1.99E+13,100g,469,6.25,15.63,75,12.5,,,,,,563,,,,,,,,0,9.38,0,,,,,,,,,,,,,,30g,197g,"식염, 버터오일, 찰옥수수전분, 식물성유지, 식물성유지, 발효종, 감자전분, 백설탕, 중력분, 건조효모, 곡류가공품, 베이킹파우더, 산성아황산나트륨",,65.6,1,930,
카라멜콘 땅콩,(주)크라운제과,P101-106000100-1754,1.99E+11,100g,529,4.17,29.17,62.5,29.17,,,,,,167,,,,,,,,0,8.33,0,,,,,,,,,,,,,,30g,24g,"땅콩버터, 프락토올리고당, 땅콩버터, 캐러멜소스, 땅콩향, 결정셀룰로스, 정제소금, 카라멜색소 I, 가공소금, 팽창제제, 옥수수가루, 백설탕, 혼합식용유, 꿀땅콩, 캐러멜향, 정제수",,72,1,750,
카라멜 메이플콘,(주)크라운제과,P101-106000100-1753,1.99E+13,100g,519,2.7,27.03,66.22,32.43,,,,,,230,,,,,,,,13.51,10.81,0,,,,,,,,,,,,,,30g,74g,"옥수수가루, 백설탕, 혼합유, 캐러멜소스, 당시럽류, 가공버터, 혼합제제, 정제소금, 카라멜색소 I, 가공소금, 결정셀룰로오스, 가당연유, 버터혼합분말, 정제수, 레시틴, 베이킹파우더, 혼합제제",,74,1,500,
치즈톡 달콤치즈맛,농업회사법인 오리온농협 주식회사,P101-104000100-0432,2.02E+12,100g,486,3.75,21.25,70,16.25,,,,,,588,,,,,,,,0,10,0,,,,,,,,,,,,,,30g,80g,"레시틴, 식품첨가물, 과.채가공품, 복합조미식품, 전지분유, 곡류가공품, 기타 식용유지가공품, 정제소금, 식물성유지, 백설탕, 복합조미식품, 전분, 식물성유지, 식물성크림, 서류가공품, 옥수수전분",,80,1,1200,
치즈먹은 공룡,(주) 청우식품,P101-103000100-5253,2.01E+13,100g,453,7.71,14.95,71.9,14.32,,,,,,504,,,,,,,,4.07,7.02,0.05,,,,,,,,,,,,,,30g,100g,"프로테아제(세균성), 향료, 산도조절제, 기타과당, 정제소금, 산도조절제, 가공치즈, 곡류가공품, 혼합분유, 밀가루, 설탕, 쇼트닝",,60,1,1090,
쵸코하임,(주)크라운제과,P101-106000100-1723,2.01E+11,100g,540,8.51,29.79,59.57,36.17,,,,,,138,,,,,,,,10.64,17.02,0,,,,,,,,,,,,,,30g,47g,"가공유지, 설탕, 유청, 혼합분유, 유당, 기타가공품, 헤젤넛트페이스트, 준초콜릿, 올리고당, 대두분, 코코아분말, 쇼트닝, 코코아매스, 옥수수기름(옥배유), 유화제, 유화제, 유화제, 탄산수소나트륨, 탄산수소암모늄, 덱스트린, 정제소금, 구아검, 식품첨가물, 밀가루, 헤이즐넛향",,284,1,3470,
참크래커,(주)크라운제과,P101-103000400-1345,2.01E+12,100g,450,8.93,14.29,71.43,1.79,,,,,,696,,,,,,,,17.86,7.86,0.54,,,,,,,,,,,,,,30g,56g,"쇼트닝, 밀가루, 향료, 혼합제제, 물엿, 혼합분유, 영양강화제, 효소제, 곡류가공품, 효모, 산도조절제, 천일염, 우유, 혼합식용유, 쇼트닝",,56,1,1050,
참 알프스,(주)크라운제과,P101-106000100-6226,2.01E+13,100g,441,8.93,12.5,73.21,1.79,,,,,,679,,,,,,,,8.93,6.96,0.89,,,,,,,,,,,,,,30g,56g,"밀가루, 곡류가공품, 쇼트닝, 쇼트닝, 혼합식용유, 정제소금, 우유, 혼합분유, 물엿, 탄산수소나트륨, 효모, 곡류가공품, 크래커향, 혼합제제, 탄산칼슘, 식품첨가물",,59,1,960,
찰떡쿠키 오리지널,(주)청우식품,P101-103000100-5237,1.99E+13,100g,395,4,9,74,34,,,,,,300,,,,,,,,15,4.5,0,,,,,,,,,,,,,,30g,258g,"찹쌀, 전란액, D-소비톨액, 밀가루, 설탕, 물엿, 마가린, 기타과당, 찰옥수수전분, 가공버터, 당류가공품, 식물성크림, 전분가공품, 정제소금, 탄산수소암모늄, 혼합제제, 탄산수소나트륨, 혼합제제, 레시틴, 혼합제제, 정제수, 주정",,215,6,4483,
쫄병 안성탕면맛,(주)농심,P101-106000100-1653,2.00E+13,100g,513,7.79,27.27,59.74,5.19,,,,,,831,,,,,,,,0,12.99,0,,,,,,,,,,,,,,30g,77g,"옥수수전분, 정제팜유, 밀가루, 복합조미식품, 기타가공품, 소스, 설탕, 정제소금, 복합조미식품, 식육추출가공품, 복합조미식품, 감자전분, 복합조미식품, 효소처리스테비아, 혼합제제, 정제수",,82,5,1904,
쫄병 숯불바베큐맛,(주)농심,P101-104000100-1967,2.00E+13,100g,512,7.32,26.83,60.98,7.32,,,,,,537,,,,,,,,0,12.2,0,,,,,,,,,,,,,,30g,82g,"밀가루, 팜유, 옥수수전분, 기타가공품, 소스, 설탕, 정제소금, 감자전분, 효소처리스테비아, 혼합제제, 향료제제, 정제수",,,1,960,
쫄병 매콤한맛,(주)농심,P101-104000100-1966,2.00E+13,100g,512,6.1,26.83,60.98,7.32,,,,,,573,,,,,,,,0,12.2,0,,,,,,,,,,,,,,30g,82g,"정제수, 혼합제제, 효소처리스테비아, 감자전분, 정제소금, 설탕, 소스, 기타가공품, 옥수수전분, 팜유, 밀가루",,82,1,780,
죠리퐁 마시멜로,(주)크라운제과,P101-106000100-1617,1.99E+13,100g,436,7.69,12.05,76.92,35.9,,,,,,154,,,,,,,,0,5.38,0,,,,,,,,,,,,,,30g,39g,"물엿, 기타가공품, 기타설탕, 팜올레인유, 설탕, 밀쌀, 폴리덱스트로스, 프락토올리고당, 카라멜색소 I, 정제소금, 당류가공품, 비타민C, 향료, 바닐린, 향료, 유화제, 식품첨가물혼합제제, 비타민 A, 정제수",,35,1,930,
죠리퐁,(주)크라운제과,P101-106000100-1616,1.99E+11,100g,446,8.11,13.51,77.03,31.08,,,,,,162,,,,,,,,0,5.95,0,,,,,,,,,,,,,,30g,74g,"비타민C, 혼합제제, 당류가공품, 정제소금, 카라멜색소 I, 폴리덱스트로스, 올리고당, 물엿, 기타설탕, 팜올레인유, 백설탕, 밀쌀, 향료, 바닐린, 정제수, 비타민 A, 유화제, 향료",,74,6,1000,
조청유과,(주)농심,P101-107000100-1389,1.99E+12,100g,552,2.5,32.29,62.5,25,,,,,,260,,,,,,,,0,11.46,0,,,,,,,,,,,,,,30g,96g,"채종유(유채유 또는 카놀라유), 혼합제제, 정제수, 정제소금, 물엿, 기타가공품, 밀가루, 복합조미식품, 프락토올리고당, 전분가공품, 갈색설탕, 기타전분, 팜유류, 백설탕, 곡류가공품",,320,5,4180,
